Omavalitsus,Vaatlusperiood,"Asustustihedus, elanikku km2 kohta"
..Märjamaa vald,2016,7.51069
..Raikküla vald,2013,7.09
..Raikküla vald,2014,6.88671
..Raikküla vald,2015,6.7639
..Raikküla vald,2016,6.6329
..Rapla vald,2013,37.47
..Rapla vald,2014,37.36286
..Rapla vald,2015,37.19334
..Rapla vald,2016,37.68235
..Vigala vald,2013,4.53
..Vigala vald,2014,4.44387
..Vigala vald,2015,4.3978
..Vigala vald,2016,4.5313
..Kuressaare linn,2013,892.24
..Kuressaare linn,2014,879.73244
..Kuressaare linn,2015,839.29032
..Kuressaare linn,2016,867.67742
..Kaarma vald,2013,11.36
..Kaarma vald,2014,11.51812
..Kihelkonna vald,2013,2.66
..Kihelkonna vald,2014,2.61852
..Kihelkonna vald,2015,2.57921
..Kihelkonna vald,2016,3.02725
..Kärla vald,2013,7.57
..Kärla vald,2014,7.5504
..Laimjala vald,2013,5.37
..Laimjala vald,2014,5.52928
..Laimjala vald,2015,5.36569
..Laimjala vald,2016,5.91251
..Leisi vald,2013,5.24
..Leisi vald,2014,5.19805
..Leisi vald,2015,5.18684
..Leisi vald,2016,5.65681
..Lääne-Saare vald,2015,8.64387
..Lääne-Saare vald,2016,8.75507
..Lümanda vald,2013,3.84
..Lümanda vald,2014,3.94005
..Muhu vald,2013,7.42
..Muhu vald,2014,7.58781
..Muhu vald,2015,7.49363
..Muhu vald,2016,8.66721
..Mustjala vald,2013,2.67
..Mustjala vald,2014,2.57782
..Mustjala vald,2015,2.57944
..Mustjala vald,2016,2.80005
..Orissaare vald,2013,10.37
..Orissaare vald,2014,10.35456
..Orissaare vald,2015,10.46327
..Orissaare vald,2016,11.16612
..Pihtla vald,2013,5.77
..Pihtla vald,2014,5.91381
..Pihtla vald,2015,5.8875
..Pihtla vald,2016,6.08418
..Pöide vald,2013,6.5
..Pöide vald,2014,6.40071
..Pöide vald,2015,6.159
..Pöide vald,2016,6.85198
..Ruhnu vald,2013,5.81
..Ruhnu vald,2014,7.45234
..Ruhnu vald,2015,8.15126
..Ruhnu vald,2016,11.59664
..Salme vald,2013,9.06
..Salme vald,2014,8.95107
..Salme vald,2015,8.82022
..Salme vald,2016,10.10993
..Torgu vald,2013,2.04
..Torgu vald,2014,2.25403
..Torgu vald,2015,2.28134
..Torgu vald,2016,2.67603
..Valjala vald,2013,6.59
..Valjala vald,2014,6.54372
..Valjala vald,2015,6.6663
..Valjala vald,2016,7.33681
..Elva linn,2013,572.10473
..Elva linn,2014,569.68781
..Elva linn,2015,571.74571
..Elva linn,2016,573.05752
..Kallaste linn,2013,439.38
..Kallaste linn,2014,438.34197
..Kallaste linn,2015,362.38938
..Kallaste linn,2016,357.52212
..Tartu linn,2013,2564.9
