Omavalitsus,Vaatlusperiood,"Asustustihedus, elanikku km2 kohta"
..Meremäe vald,2013,7.15
..Meremäe vald,2014,7.16072
..Meremäe vald,2015,6.9965
..Meremäe vald,2016,7.68944
..Misso vald,2013,3.1
..Misso vald,2014,3.18986
..Misso vald,2015,3.13378
..Misso vald,2016,3.34588
..Mõniste vald,2013,4.76
..Mõniste vald,2014,4.63377
..Mõniste vald,2015,4.58206
..Mõniste vald,2016,4.87127
..Rõuge vald,2013,7.46
..Rõuge vald,2014,7.38662
..Rõuge vald,2015,7.52108
..Rõuge vald,2016,8.19342
..Sõmerpalu vald,2013,9.64
..Sõmerpalu vald,2014,9.5916
..Sõmerpalu vald,2015,9.41441
..Sõmerpalu vald,2016,9.71049
..Urvaste vald,2013,8.27
..Urvaste vald,2014,8.23664
..Urvaste vald,2015,8.0965
..Urvaste vald,2016,9.0844
..Varstu vald,2013,5.97
..Varstu vald,2014,5.98957
..Varstu vald,2015,5.94772
..Varstu vald,2016,6.14071
..Vastseliina vald,2013,8.43
..Vastseliina vald,2014,8.34007
..Vastseliina vald,2015,8.30994
..Vastseliina vald,2016,8.92129
..Võru vald,2013,24.66236
..Võru vald,2014,24.24528
..Võru vald,2015,24.1821
..Võru vald,2016,23.38778
