Omavalitsus,Vaatlusperiood,Rahvaarv
..Kärla vald,2013,1637
..Kärla vald,2014,1633
..Laimjala vald,2013,624
..Laimjala vald,2014,643
..Laimjala vald,2015,628
..Laimjala vald,2016,692
..Leisi vald,2013,1825
..Leisi vald,2014,1811
..Leisi vald,2015,1810
..Leisi vald,2016,1974
..Lääne-Saare vald,2015,6996
..Lääne-Saare vald,2016,7086
..Lümanda vald,2013,767
..Lümanda vald,2014,786
..Muhu vald,2013,1529
..Muhu vald,2014,1564
..Muhu vald,2015,1558
..Muhu vald,2016,1802
..Mustjala vald,2013,628
..Mustjala vald,2014,607
..Mustjala vald,2015,608
..Mustjala vald,2016,660
..Orissaare vald,2013,1690
..Orissaare vald,2014,1688
..Orissaare vald,2015,1712
..Orissaare vald,2016,1827
..Pihtla vald,2013,1317
..Pihtla vald,2014,1349
..Pihtla vald,2015,1347
..Pihtla vald,2016,1392
..Pöide vald,2013,803
..Pöide vald,2014,791
..Pöide vald,2015,791
..Pöide vald,2016,880
..Ruhnu vald,2013,67
..Ruhnu vald,2014,86
..Ruhnu vald,2015,97
..Ruhnu vald,2016,138
..Salme vald,2013,1043
..Salme vald,2014,1030
..Salme vald,2015,1019
..Salme vald,2016,1168
..Torgu vald,2013,258
..Torgu vald,2014,285
..Torgu vald,2015,289
..Torgu vald,2016,339
..Valjala vald,2013,1186
..Valjala vald,2014,1178
..Valjala vald,2015,1203
..Valjala vald,2016,1324
..Elva linn,2013,5681
..Elva linn,2014,5657
..Elva linn,2015,5666
..Elva linn,2016,5679
..Kallaste linn,2013,848
..Kallaste linn,2014,846
..Kallaste linn,2015,819
..Kallaste linn,2016,808
..Tartu linn,2013,99518
..Tartu linn,2014,98449
..Tartu linn,2015,97332
..Tartu linn,2016,93687
..Alatskivi vald,2013,1291
..Alatskivi vald,2014,1271
..Alatskivi vald,2015,1287
..Alatskivi vald,2016,1279
..Haaslava vald,2013,2021
..Haaslava vald,2014,2028
..Haaslava vald,2015,2030
..Haaslava vald,2016,1971
..Kambja vald,2013,2663
..Kambja vald,2014,2659
..Kambja vald,2015,2680
..Kambja vald,2016,2599
..Konguta vald,2013,1350
..Konguta vald,2014,1355
..Konguta vald,2015,1366
..Konguta vald,2016,1428
..Laeva vald,2013,790
..Laeva vald,2014,797
..Laeva vald,2015,778
..Laeva vald,2016,746
..Luunja vald,2013,4333
..Luunja vald,2014,4374
..Luunja vald,2015,4399
..Luunja vald,2016,4000
..Meeksi vald,2013,543
..Meeksi vald,2014,536
..Meeksi vald,2015,530
..Meeksi vald,2016,583
..Mäksa vald,2013,1672
..Mäksa vald,2014,1682
..Mäksa vald,2015,1668
..Mäksa vald,2016,1598
..Nõo vald,2013,4022
..Nõo vald,2014,4014
..Nõo vald,2015,4018
..Nõo vald,2016,3922
..Peipsiääre vald,2013,708
..Peipsiääre vald,2014,700
..Peipsiääre vald,2015,676
..Peipsiääre vald,2016,660
..Piirissaare vald,2013,57
..Piirissaare vald,2014,65
..Piirissaare vald,2015,63
..Piirissaare vald,2016,99
..Puhja vald,2013,2252
..Puhja vald,2014,2233
..Puhja vald,2015,2219
..Puhja vald,2016,2226
..Rannu vald,2013,1530
..Rannu vald,2014,1524
..Rannu vald,2015,1527
..Rannu vald,2016,1581
..Rõngu vald,2013,2858
..Rõngu vald,2014,2848
..Rõngu vald,2015,2811
..Rõngu vald,2016,2688
..Tartu vald,2013,7137
..Tartu vald,2014,7217
..Tartu vald,2015,7418
..Tartu vald,2016,6908
..Tähtvere vald,2013,2969
..Tähtvere vald,2014,2961
..Tähtvere vald,2015,2915
..Tähtvere vald,2016,2525
..Vara vald,2013,1879
..Vara vald,2014,1891
..Vara vald,2015,1888
..Vara vald,2016,1839
..Võnnu vald,2013,1156
..Võnnu vald,2014,1153
..Võnnu vald,2015,1150
..Võnnu vald,2016,1110
..Ülenurme vald,2013,7822
..Ülenurme vald,2014,7928
..Ülenurme vald,2015,8137
..Ülenurme vald,2016,7067
..Tõrva linn,2013,2753
..Tõrva linn,2014,2716
..Tõrva linn,2015,2690
..Tõrva linn,2016,2820
..Valga linn,2013,12683
..Valga linn,2014,12437
..Valga linn,2015,12352
..Valga linn,2016,12632
..Helme vald,2013,1916
..Helme vald,2014,1882
..Helme vald,2015,1863
..Helme vald,2016,1985
..Hummuli vald,2013,838
..Hummuli vald,2014,825
..Hummuli vald,2015,812
..Hummuli vald,2016,829
..Karula vald,2013,918
..Karula vald,2014,920
..Karula vald,2015,954
..Karula vald,2016,959
..Otepää vald,2013,3729
..Otepää vald,2014,3737
..Otepää vald,2015,3727
..Otepää vald,2016,3872
..Palupera vald,2013,1298
..Palupera vald,2014,1266
..Palupera vald,2015,1256
..Palupera vald,2016,1044
..Puka vald,2013,1556
..Puka vald,2014,1533
..Puka vald,2015,1529
..Puka vald,2016,1573
..Põdrala vald,2013,738
..Põdrala vald,2014,746
..Põdrala vald,2015,718
..Põdrala vald,2016,751
..Sangaste vald,2013,1303
..Sangaste vald,2014,1293
..Sangaste vald,2015,1271
..Sangaste vald,2016,1268
..Taheva vald,2013,757
..Taheva vald,2014,736
..Taheva vald,2015,734
..Taheva vald,2016,736
..Tõlliste vald,2013,1644
..Tõlliste vald,2014,1628
..Tõlliste vald,2015,1592
..Tõlliste vald,2016,1588
..Õru vald,2013,457
..Õru vald,2014,457
..Õru vald,2015,446
..Õru vald,2016,467
..Mõisaküla linn,2013,830
..Mõisaküla linn,2014,806
..Mõisaküla linn,2015,789
..Mõisaküla linn,2016,790
..Viljandi linn,2013,17837
..Viljandi linn,2014,17602
..Viljandi linn,2015,17549
..Viljandi linn,2016,17860
..Võhma linn,2013,1324
..Võhma linn,2014,1282
..Võhma linn,2015,1285
..Võhma linn,2016,1314
..Abja vald,2013,2108
..Abja vald,2014,2092
..Abja vald,2015,2061
..Abja vald,2016,2159
..Halliste vald,2013,1399
..Halliste vald,2014,1411
..Halliste vald,2015,1395
..Halliste vald,2016,1479
..Keila linn,2013,9848
..Keila linn,2014,9751
..Keila linn,2015,9758
..Keila linn,2016,9577
..Loksa linn,2013,2762
..Loksa linn,2014,2703
..Loksa linn,2015,2665
..Loksa linn,2016,2634
..Maardu linn,2013,17757
..Maardu linn,2014,17315
..Maardu linn,2015,17141
..Maardu linn,2016,15128
..Paldiski linn,2013,4170
..Paldiski linn,2014,4163
..Paldiski linn,2015,4056
..Paldiski linn,2016,3767
..Saue linn,2013,5665
..Saue linn,2014,5656
..Saue linn,2015,5631
..Saue linn,2016,5779
..Tallinn,2013,406059
..Tallinn,2014,411063
..Tallinn,2015,413782
..Tallinn,2016,423420
..Aegviidu vald,2013,730
..Aegviidu vald,2014,717
..Aegviidu vald,2015,712
..Aegviidu vald,2016,709
..Anija vald,2013,5806
..Anija vald,2014,5741
..Anija vald,2015,5685
..Anija vald,2016,5474
..Harku vald,2013,14373
..Harku vald,2014,14360
..Harku vald,2015,14505
..Harku vald,2016,13456
..Jõelähtme vald,2013,6588
..Jõelähtme vald,2014,6534
..Jõelähtme vald,2015,6547
..Jõelähtme vald,2016,6095
..Keila vald,2013,5384
..Keila vald,2014,5291
..Keila vald,2015,5312
..Keila vald,2016,4681
..Kernu vald,2013,2394
..Kernu vald,2014,2351
..Kernu vald,2015,2315
..Kernu vald,2016,1990
..Kiili vald,2013,5162
..Kiili vald,2014,5146
..Kiili vald,2015,5229
..Kiili vald,2016,4945
..Kose vald,2013,5722
..Kose vald,2014,7232
..Kose vald,2015,7209
..Kose vald,2016,7066
..Kuusalu vald,2013,6528
..Kuusalu vald,2014,6460
..Kuusalu vald,2015,6435
..Kuusalu vald,2016,6496
..Kõue vald,2013,1607
..Nissi vald,2013,2932
..Nissi vald,2014,2897
..Nissi vald,2015,2866
..Nissi vald,2016,2832
..Padise vald,2013,1572
..Padise vald,2014,1573
..Padise vald,2015,1583
..Padise vald,2016,1713
..Raasiku vald,2013,4700
..Raasiku vald,2014,4722
..Raasiku vald,2015,4749
..Raasiku vald,2016,4625
..Rae vald,2013,16051
..Rae vald,2014,16234
..Rae vald,2015,16859
..Rae vald,2016,15794
..Saku vald,2013,9790
..Saku vald,2014,9783
..Saku vald,2015,9843
..Saku vald,2016,9276
..Saue vald,2013,10836
..Saue vald,2014,10745
..Saue vald,2015,10907
..Saue vald,2016,10301
..Vasalemma vald,2013,2719
..Vasalemma vald,2014,2655
..Vasalemma vald,2015,2613
..Vasalemma vald,2016,2466
..Viimsi vald,2013,18812
..Viimsi vald,2014,19011
..Viimsi vald,2015,19199
..Viimsi vald,2016,18041
..Kärdla linn,2013,3093
..Emmaste vald,2013,1125
..Emmaste vald,2014,1116
..Emmaste vald,2015,1108
..Emmaste vald,2016,1200
..Hiiu vald,2014,4176
..Hiiu vald,2015,4159
..Hiiu vald,2016,4544
..Kõrgessaare vald,2013,1103
..Käina vald,2013,1867
..Käina vald,2014,1853
..Käina vald,2015,1878
..Käina vald,2016,2074
..Pühalepa vald,2013,1450
..Pühalepa vald,2014,1444
..Pühalepa vald,2015,1437
..Pühalepa vald,2016,1530
..Kiviõli linn,2013,5768
..Kiviõli linn,2014,5635
..Kiviõli linn,2015,5504
..Kiviõli linn,2016,5429
..Kohtla-Järve linn,2013,37961
..Kohtla-Järve linn,2014,37198
..Kohtla-Järve linn,2015,36622
..Kohtla-Järve linn,2016,35928
..Narva linn,2013,59888
..Narva linn,2014,59049
..Narva linn,2015,58375
..Narva linn,2016,58204
..Narva-Jõesuu linn,2013,2703
..Narva-Jõesuu linn,2014,2655
..Narva-Jõesuu linn,2015,2630
..Narva-Jõesuu linn,2016,2619
..Püssi linn,2013,1089
..Sillamäe linn,2013,14376
..Sillamäe linn,2014,14122
..Sillamäe linn,2015,13964
..Sillamäe linn,2016,13686
..Alajõe vald,2013,362
..Alajõe vald,2014,390
..Alajõe vald,2015,416
..Alajõe vald,2016,581
..Aseri vald,2013,1788
..Aseri vald,2014,1707
..Aseri vald,2015,1643
..Aseri vald,2016,1598
..Avinurme vald,2013,1313
..Avinurme vald,2014,1271
..Avinurme vald,2015,1247
..Avinurme vald,2016,1267
..Iisaku vald,2013,1192
..Iisaku vald,2014,1182
..Iisaku vald,2015,1174
..Iisaku vald,2016,1213
..Illuka vald,2013,909
..Illuka vald,2014,913
..Illuka vald,2015,920
..Illuka vald,2016,1000
..Jõhvi vald,2013,12856
..Jõhvi vald,2014,12696
..Jõhvi vald,2015,12567
..Jõhvi vald,2016,11786
..Kohtla vald,2013,1450
..Kohtla vald,2014,1435
..Kohtla vald,2015,1450
..Kohtla vald,2016,1554
..Kohtla-Nõmme vald,2013,1032
..Kohtla-Nõmme vald,2014,1020
..Kohtla-Nõmme vald,2015,998
..Kohtla-Nõmme vald,2016,998
..Lohusuu vald,2013,690
..Lohusuu vald,2014,699
..Lohusuu vald,2015,687
..Lohusuu vald,2016,707
..Lüganuse vald,2013,1361
..Lüganuse vald,2014,3028
..Lüganuse vald,2015,2941
..Lüganuse vald,2016,2945
..Maidla vald,2013,708
..Mäetaguse vald,2013,1518
..Mäetaguse vald,2014,1497
..Mäetaguse vald,2015,1523
..Mäetaguse vald,2016,1748
..Sonda vald,2013,804
..Sonda vald,2014,811
..Sonda vald,2015,789
..Sonda vald,2016,844
..Toila vald,2013,2201
..Toila vald,2014,2184
..Toila vald,2015,2161
..Toila vald,2016,2267
..Tudulinna vald,2013,468
..Tudulinna vald,2014,463
..Tudulinna vald,2015,459
..Tudulinna vald,2016,432
..Vaivara vald,2013,1472
..Vaivara vald,2014,1528
..Vaivara vald,2015,1527
..Vaivara vald,2016,1700
..Jõgeva linn,2013,5533
..Jõgeva linn,2014,5457
..Jõgeva linn,2015,5477
..Jõgeva linn,2016,5340
..Mustvee linn,2013,1373
..Mustvee linn,2014,1348
..Mustvee linn,2015,1320
..Mustvee linn,2016,1315
..Põltsamaa linn,2013,4216
..Põltsamaa linn,2014,4148
..Põltsamaa linn,2015,4111
..Põltsamaa linn,2016,4174
..Jõgeva vald,2013,4311
..Jõgeva vald,2014,4195
..Jõgeva vald,2015,4139
..Jõgeva vald,2016,4344
..Kasepää vald,2013,1185
..Kasepää vald,2014,1169
..Kasepää vald,2015,1162
..Kasepää vald,2016,1187
..Pajusi vald,2013,1196
..Pajusi vald,2014,1182
..Pajusi vald,2015,1153
..Pajusi vald,2016,1285
..Pala vald,2013,1076
..Pala vald,2014,1059
..Pala vald,2015,1040
..Pala vald,2016,1096
..Palamuse vald,2013,2108
..Palamuse vald,2014,2092
..Palamuse vald,2015,2058
..Palamuse vald,2016,2130
..Puurmani vald,2013,1442
..Puurmani vald,2014,1428
..Puurmani vald,2015,1391
..Puurmani vald,2016,1509
..Põltsamaa vald,2013,3867
..Põltsamaa vald,2014,3784
..Põltsamaa vald,2015,3740
..Põltsamaa vald,2016,3650
..Saare vald,2013,1179
..Saare vald,2014,1163
..Saare vald,2015,1149
..Saare vald,2016,1116
..Tabivere vald,2013,2215
..Tabivere vald,2014,2222
..Tabivere vald,2015,2210
..Tabivere vald,2016,2198
..Torma vald,2013,1886
..Torma vald,2014,1898
..Torma vald,2015,1891
..Torma vald,2016,1954
..Paide linn,2013,8304
..Paide linn,2014,8162
..Paide linn,2015,8056
..Paide linn,2016,8127
..Albu vald,2013,1141
..Albu vald,2014,1137
..Albu vald,2015,1123
..Albu vald,2016,1176
..Ambla vald,2013,1981
..Ambla vald,2014,1971
..Ambla vald,2015,1915
..Ambla vald,2016,2013
..Imavere vald,2013,871
..Imavere vald,2014,838
..Imavere vald,2015,857
..Imavere vald,2016,897
..Järva-Jaani vald,2013,1523
..Järva-Jaani vald,2014,1516
..Järva-Jaani vald,2015,1500
..Järva-Jaani vald,2016,1554
..Kareda vald,2013,629
..Kareda vald,2014,613
..Kareda vald,2015,601
..Kareda vald,2016,582
..Koeru vald,2013,2187
..Koeru vald,2014,2150
..Koeru vald,2015,2126
..Koeru vald,2016,2110
..Koigi vald,2013,932
..Koigi vald,2014,912
..Koigi vald,2015,892
..Koigi vald,2016,955
..Paide vald,2013,1566
..Paide vald,2014,1581
..Paide vald,2015,1556
..Paide vald,2016,1627
..Roosna-Alliku vald,2013,1001
..Roosna-Alliku vald,2014,967
..Roosna-Alliku vald,2015,972
..Roosna-Alliku vald,2016,1037
..Türi vald,2013,9496
..Türi vald,2014,9302
..Türi vald,2015,9246
..Türi vald,2016,9351
..Väätsa vald,2013,1282
..Väätsa vald,2014,1276
..Väätsa vald,2015,1265
..Väätsa vald,2016,1280
..Haapsalu linn,2013,10472
..Haapsalu linn,2014,10316
..Haapsalu linn,2015,10160
..Haapsalu linn,2016,10146
..Hanila vald,2013,1396
..Hanila vald,2014,1374
..Hanila vald,2015,1346
..Hanila vald,2016,1428
..Kullamaa vald,2013,1136
..Kullamaa vald,2014,1119
..Kullamaa vald,2015,1121
..Kullamaa vald,2016,1111
..Lihula vald,2013,2288
..Lihula vald,2014,2248
..Lihula vald,2015,2195
..Lihula vald,2016,2267
..Lääne-Nigula vald,2014,3956
..Lääne-Nigula vald,2015,3951
..Lääne-Nigula vald,2016,4054
..Martna vald,2013,793
..Martna vald,2014,776
..Martna vald,2015,756
..Martna vald,2016,760
..Noarootsi vald,2013,700
..Noarootsi vald,2014,703
..Noarootsi vald,2015,707
..Noarootsi vald,2016,815
..Nõva vald,2013,346
..Nõva vald,2014,339
..Nõva vald,2015,338
..Nõva vald,2016,357
..Oru vald,2013,849
..Ridala vald,2013,3237
..Ridala vald,2014,3222
..Ridala vald,2015,3219
..Ridala vald,2016,3245
..Risti vald,2013,821
..Taebla vald,2013,2334
..Vormsi vald,2013,250
..Vormsi vald,2014,270
..Vormsi vald,2015,277
..Vormsi vald,2016,397
..Kunda linn,2013,3390
..Kunda linn,2014,3267
..Kunda linn,2015,3224
..Kunda linn,2016,3136
..Rakvere linn,2013,15571
..Rakvere linn,2014,15400
..Rakvere linn,2015,15303
..Rakvere linn,2016,15747
..Haljala vald,2013,2511
..Haljala vald,2014,2464
..Haljala vald,2015,2441
..Haljala vald,2016,2470
